Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              23.01.1971 125 4.97       34.584      4.97                 34.584        
Ingoy              08.02.1971 125 5.16       34.691      5.16                 34.691        
Ingoy              26.02.1971 125 4.42       34.464      4.42                 34.464        
Ingoy              26.03.1971 125 4.33       34.794      4.33                 34.794        
Ingoy              14.04.1971 125 4.4        34.767      4.4                  34.767        
Ingoy              01.05.1971 125 4.38       34.714      4.38                 34.714        
Ingoy              16.05.1971 125 4.16       34.497      4.16                 34.497        
Ingoy              31.05.1971 125 4.43       34.591      4.43                 34.591        
Ingoy              13.06.1971 125 4.72       34.75       4.72                 34.75         
Ingoy              28.06.1971 125 5.18                   5.18                               
Ingoy              17.08.1971 125 6.13       34.367      6.13                 34.367        
Ingoy              31.08.1971 125 7.12       34.573      7.12                 34.573        
Ingoy              15.09.1971 125 7.25       34.697      7.25                 34.697        
Ingoy              30.09.1971 125 8.44       34.715      8.44                 34.715        
Ingoy              14.10.1971 125 7.66       34.319      7.66                 34.319        
Ingoy              01.11.1971 125 7.41       34.697      7.41                 34.697        
Ingoy              14.11.1971 125 7.29       34.739      7.29                 34.739        
Ingoy              30.11.1971 125 6.39       34.815      6.39                 34.815        
Ingoy              11.01.1972 125 5.04       34.458      5.04                 34.458        
Ingoy              02.02.1972 125 5.59       34.692      5.59                 34.692        
Ingoy              29.02.1972 125 5.43       34.841      5.43                 34.841        
Ingoy              04.04.1972 125 3.66       34.431      3.66                 34.431        
Ingoy              16.04.1972 125 4.9        34.833      4.9                  34.833        
Ingoy              01.05.1972 125 5.08       34.689      5.08                 34.689        
Ingoy              15.05.1972 125 4.84       34.75       4.84                 34.75         
Ingoy              31.05.1972 125 4.98       34.745      4.98                 34.745        
Ingoy              15.06.1972 125 5.14       34.631      5.14                 34.631        
Ingoy              01.07.1972 125 5.74       34.825      5.74                 34.825        
Ingoy              15.07.1972 125 6          34.719      6                    34.719        
Ingoy              31.07.1972 125 7.08       34.539      7.08                 34.539        
Ingoy              15.08.1972 125 7.06       34.617      7.06                 34.617        
Ingoy              31.08.1972 125 8.12       34.598      8.12                 34.598        
Ingoy              15.09.1972 125 8.62       34.792      8.62                 34.792        
Ingoy              30.09.1972 125 9.28       34.232      9.28                 34.232        
Ingoy              16.10.1972 125 8.19       34.551      8.19                 34.551        
Ingoy              30.10.1972 125 7.93       34.663      7.93                 34.663        
Ingoy              17.11.1972 125 7.57       34.723      7.57                 34.723        
Ingoy              30.11.1972 125 6.62       34.66       6.62                 34.66         
Ingoy              14.12.1972 125 6.49       34.406      6.49                 34.406        
Ingoy              08.02.1973 125 5.63                   5.63                               
Ingoy              27.02.1973 125 5.72       34.845      5.72                 34.845        
Ingoy              23.03.1973 125 5.07       34.796      5.07                 34.796        
Ingoy              06.04.1973 125 5.03       34.844      5.03                 34.844        
Ingoy              23.04.1973 125 4.42       34.573      4.42                 34.573        
Ingoy              07.05.1973 125 5.19       34.923      5.19                 34.923        
Ingoy              21.05.1973 125 5.38       34.95       5.38                 34.95         
Ingoy              04.06.1973 125 5.7        34.764      5.7                  34.764        
Ingoy              19.06.1973 125 5.63       34.606      5.63                 34.606        
Ingoy              02.07.1973 125 6.12       34.622      6.12                 34.622        
Ingoy              16.07.1973 125 6.09       34.385      6.09                 34.385        
Ingoy              10.08.1973 125 7.32       34.733      7.32                 34.733        
Ingoy              27.08.1973 125 7.3        34.548      7.3                  34.548        
Ingoy              09.09.1973 125 8.24       34.584      8.24                 34.584        
Ingoy              23.09.1973 125 7.53       34.879      7.53                 34.879        
Ingoy              12.10.1973 125 7.72       34.551      7.72                 34.551        
Ingoy              25.10.1973 125 7.04       34.486      7.04                 34.486        
Ingoy              01.12.1973 125 6.16       34.571      6.16                 34.571        
Ingoy              08.01.1974 125 4.94       34.621      4.94                 34.621        
Ingoy              01.02.1974 125 4.44       34.4        4.44                 34.4          
Ingoy              18.02.1974 125 4.54       34.601      4.54                 34.601        
Ingoy              02.03.1974 125 4.94       34.955      4.94                 34.955        
Ingoy              15.03.1974 125 5.1        35.01       5.1                  35.01         
Ingoy              03.04.1974 125 4.92       34.733      4.92                 34.733        
Ingoy              16.04.1974 125 4.21       34.497      4.21                 34.497        
Ingoy              08.05.1974 125 4.72       34.695      4.72                 34.695        
